Batch_ID,Stage,Start_Time_Min,End_Time_Min,Duration_Min,Assigned_Machine
Булочка для гамбургера большой с кунжутом_batch_6,Формовка,733,744,11,former_1
Булочка для гамбургера большой с кунжутом_batch_3,Смешивание,736,746,10,mixer_1
Сэндвич_batch_8,Комбинирование,736,757,21,combiner_0
Сэндвич_batch_12,Остывание,737,782,45,
Сэндвич_batch_11,Выпекание,738,760,22,
Береке_batch_2,Комбинирование,744,759,15,combiner_1
Булочка для гамбургера большой с кунжутом_batch_1,Смешивание,744,754,10,mixer_2
Булочка для гамбургера большой с кунжутом_batch_6,Расстойка,744,769,25,
Булочка для гамбургера большой с кунжутом_batch_3,Формовка,746,757,11,former_0
Булочка для гамбургера большой с кунжутом_batch_10,Выпекание,748,770,22,
Сэндвич_batch_6,Остывание,749,794,45,
Премиум_batch_1,Выпекание,752,777,25,
Булочка для гамбургера большой с кунжутом_batch_1,Формовка,754,765,11,former_1
Булочка для гамбургера большой с кунжутом_batch_3,Расстойка,757,782,25,
Булочка для гамбургера большой с кунжутом_batch_4,Комбинирование,757,778,21,combiner_0
Булочка для гамбургера большой с кунжутом_batch_8,Выпекание,757,779,22,
Сэндвич_batch_8,Смешивание,757,767,10,mixer_1
Береке_batch_2,Смешивание,759,769,10,mixer_0
Булочка для гамбургера большой с кунжутом_batch_11,Комбинирование,759,780,21,combiner_1
Сэндвич_batch_11,Остывание,760,805,45,
Булочка для гамбургера большой с кунжутом_batch_1,Расстойка,765,790,25,
Сэндвич_batch_8,Формовка,767,778,11,former_0
Береке_batch_2,Формовка,769,777,8,former_1
Булочка для гамбургера большой с кунжутом_batch_6,Выпекание,769,791,22,
Булочка для гамбургера большой с кунжутом_batch_10,Остывание,770,815,45,
Береке_batch_2,Расстойка,777,797,20,
Премиум_batch_1,Остывание,777,852,75,
Булочка для гамбургера большой с кунжутом_batch_14,Комбинирование,778,799,21,combiner_0
Булочка для гамбургера большой с кунжутом_batch_4,Смешивание,778,788,10,mixer_2
Сэндвич_batch_8,Расстойка,778,803,25,
Булочка для гамбургера большой с кунжутом_batch_8,Остывание,779,824,45,
Булочка для гамбургера большой с кунжутом_batch_11,Смешивание,780,790,10,mixer_1
Сэндвич_batch_5,Комбинирование,780,801,21,combiner_1
Булочка для гамбургера большой с кунжутом_batch_3,Выпекание,782,804,22,
Булочка для гамбургера большой с кунжутом_batch_4,Формовка,788,799,11,former_0
Булочка для гамбургера большой с кунжутом_batch_1,Выпекание,790,812,22,
Булочка для гамбургера большой с кунжутом_batch_11,Формовка,790,801,11,former_1
Булочка для гамбургера большой с кунжутом_batch_6,Остывание,791,836,45,
Береке_batch_2,Выпекание,797,813,16,
Булочка для гамбургера большой с кунжутом_batch_14,Смешивание,799,809,10,mixer_1
Булочка для гамбургера большой с кунжутом_batch_4,Расстойка,799,824,25,
Сэндвич_batch_7,Комбинирование,799,820,21,combiner_0
Булочка для гамбургера большой с кунжутом_batch_11,Расстойка,801,826,25,
Плетенка_batch_2,Комбинирование,801,810,9,combiner_1
Сэндвич_batch_5,Смешивание,801,811,10,mixer_0
Сэндвич_batch_8,Выпекание,803,825,22,
Булочка для гамбургера большой с кунжутом_batch_3,Остывание,804,849,45,
